1, 30, 46, -, -, 30, -, -, 25, 15, 37, 15, 150, 25, 2
2, 46, 60, 5, 45, 30, -, -, 25, 15, 37, 15, 150, 40, 2.5
3, 60, 75, 5, 45, 30, -, -, 27, 5, 39, 5, 150, 70, 2.5
4, 75, 90, 21, 29, 30, 45, 10, 32, 5, 46, 5, 200, 100, 3
5, 90, 110, 21, 29, 30, 45, 10, 32, 5, 46, 5, 200, 150, 3
6, 110, 130, 21, 29, 30, 45, 10, 35, 5, 50, 5, 250, 200, 3
7, 130, 150, 21, 29, 30, 45, 10, 37, 5, 54, 5, 250, 250, 3
8, 150, 170, 21, 29, 30, 45, 10, 37, 5, 54, 5, 300, 300, 3.1
9, 170, 190, 21, 29, 30, 50, 10, 37, 5, 54, 5, 300, 350, 3.1
10, 190, 215, 21, 29, 30, 50, 10, 40, 5, 60, 5, 350, 400, 3.1
11, 215, 242, 21, 29, 30, 50, 10, 40, 5, 60, 5, 400, 450, 3.3
12, 242, 270, 21, 29, 30, 55, 10, 40, 5, 60, 5, 420, 500, 3.3
13, 270, -, 21, 29, 30, 55, 10, -, -, -, -, -, -, 3.3
